Player,Season,2015/16(*),2016/17(*),2017/18(*),2018/19(*),2019/20(*),2020/21(*),2021/22(*),2022/23(*),2023/24(*)
Angel Delgado,2018,,,,96313.0,,,,,
Ante Zizic,2017,,,2110104.0,,,,,,
Ante Zizic,2018,,,,2434663.0,,,,,
Ante Zizic,2019,,,,,2798766.0,,,,
Anthony Barber,2016,,65176.0,,,,,,,
Anthony Barber,2021,,,,,,,61489.0,,
Anthony Bennett,2015,6052468.0,,,,,,,,
Anthony Bennett,2016,,1323993.0,,,,,,,
Anthony Black,2023,,,,,,,,,7460771.0
Anthony Brown,2015,691302.0,,,,,,,,
Anthony Brown,2016,,1334606.0,,,,,,,
Anthony Brown,2017,,,99079.0,,,,,,
Anthony Davis,2015,9308855.0,,,,,,,,
Anthony Davis,2016,,28829921.0,,,,,,,
Anthony Davis,2017,,,30494048.0,,,,,,
Anthony Davis,2018,,,,31710946.0,,,,,
Anthony Davis,2019,,,,,33231238.0,,,,
Anthony Davis,2020,,,,,,39902395.0,,,
Anthony Davis,2021,,,,,,,40890021.0,,
Anthony Davis,2022,,,,,,,,40270501.0,
Anthony Davis,2023,,,,,,,,,41806469.0
Anthony Edwards,2020,,,,,,11891308.0,,,
Anthony Edwards,2021,,,,,,,11847335.0,,
Anthony Edwards,2022,,,,,,,,11380495.0,
Anthony Edwards,2023,,,,,,,,,13936990.0
Anthony Gill,2020,,,,,,1094762.0,,,
Anthony Gill,2021,,,,,,,1755313.0,,
Anthony Gill,2022,,,,,,,,1946784.0,
Anthony Gill,2023,,,,,,,,,2056583.0
Anthony Lamb,2020,,,,,,262420.0,,,
Anthony Lamb,2021,,,,,,,157372.0,,
Anthony Lamb,2022,,,,,,,,736770.0,
Anthony Morrow,2015,4402489.0,,,,,,,,
Anthony Morrow,2016,,4546724.0,,,,,,,
Anthony Tolliver,2015,3949601.0,,,,,,,,
Anthony Tolliver,2016,,10428266.0,,,,,,,
Anthony Tolliver,2017,,,6784861.0,,,,,,
Anthony Tolliver,2018,,,,7168988.0,,,,,
Anthony Tolliver,2019,,,,,533190.0,,,,
Anthony Tolliver,2020,,,,,,749297.0,,,
Anthony Tolliver,2021,,,,,,,175557.0,,
Antonio Blakeney,2017,,,99079.0,,,,,,
Antonio Blakeney,2018,,,,1682384.0,,,,,
Antonius Cleveland,2017,,,492659.0,,,,,,
Antonius Cleveland,2019,,,,,97595.0,,,,
Anzejs Pasecniks,2019,,,,,591379.0,,,,
Anzejs Pasecniks,2020,,,,,,456152.0,,,
Archie Goodwin,2015,1527389.0,,,,,,,,
Archie Goodwin,2016,,3064604.0,,,,,,,
Archie Goodwin,2018,,,,96313.0,,,,,
Aric Holman,2021,,,,,,,61489.0,,
Arinze Onuaku,2016,,556315.0,,,,,,,
Armoni Brooks,2020,,,,,,164964.0,,,
Armoni Brooks,2021,,,,,,,2010962.0,,
Armoni Brooks,2022,,,,,,,,53014.0,
Armoni Brooks,2023,,,,,,,,,248454.0
Arnoldas Kulboka,2021,,,,,,,534959.0,,
Aron Baynes,2015,8557469.0,,,,,,,,
Aron Baynes,2016,,8472966.0,,,,,,,
Aron Baynes,2017,,,5515104.0,,,,,,
Aron Baynes,2018,,,,6475279.0,,,,,
Aron Baynes,2019,,,,,6688780.0,,,,
Aron Baynes,2020,,,,,,8530840.0,,,
Arron Afflalo,2015,10532270.0,,,,,,,,
Arron Afflalo,2016,,16294166.0,,,,,,,
Arron Afflalo,2017,,,6834435.0,,,,,,
Ashton Hagans,2020,,,,,,202438.0,,,
Ashton Hagans,2023,,,,,,,,,278888.0
Ausar Thompson,2023,,,,,,,,,8214460.0
Austin Reaves,2021,,,,,,,1069919.0,,
Austin Reaves,2022,,,,,,,,1657779.0,
Austin Reaves,2023,,,,,,,,,12372167.0
Austin Rivers,2015,4095468.0,,,,,,,,
Austin Rivers,2016,,14338866.0,,,,,,,
Austin Rivers,2017,,,15166538.0,,,,,,
Austin Rivers,2018,,,,16401802.0,,,,,
Austin Rivers,2019,,,,,2666923.0,,,,
Austin Rivers,2020,,,,,,4788298.0,,,
Austin Rivers,2021,,,,,,,2777011.0,,
Austin Rivers,2022,,,,,,,,3081038.0,
Avery Bradley,2015,10177250.0,,,,,,,,
Avery Bradley,2016,,10779781.0,,,,,,,
Avery Bradley,2017,,,11298255.0,,,,,,
Avery Bradley,2018,,,,14961367.0,,,,,
Avery Bradley,2019,,,,,5847016.0,,,,
Avery Bradley,2020,,,,,,6867326.0,,,
Avery Bradley,2021,,,,,,,3054712.0,,
Axel Toupane,2015,81328.0,,,,,,,,
Axel Toupane,2016,,1274247.0,,,,,,,
Axel Toupane,2020,,,,,,239926.0,,,
Ayo Dosunmu,2021,,,,,,,1069919.0,,
Ayo Dosunmu,2022,,,,,,,,1657779.0,
Ayo Dosunmu,2023,,,,,,,,,6674072.0
BJ Boston,2021,,,,,,,1069919.0,,
BJ Boston,2022,,,,,,,,1657779.0,
BJ Boston,2023,,,,,,,,,1890653.0
BJ Johnson,2018,,,,177180.0,,,,,
BJ Johnson,2019,,,,,97595.0,,,,
BJ Johnson,2021,,,,,,,110928.0,,
Bam Adebayo,2017,,,3194092.0,,,,,,
Bam Adebayo,2018,,,,3685284.0,,,,,
Bam Adebayo,2019,,,,,4236639.0,,,,
