fullName,Season_x,Team,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,gamesPlayed,winPercentage,Player,Season_y,SeasonYear,Salary,Year,TS_Percentage,Simple_PER,TeamSalaryCommitment
Stephen Curry,2019,Golden State,33.98936170212766,27.26595744680851,5.319148936170213,0.3191489361702128,1.2765957446808511,19.21276595744681,8.946808510638299,0.466936170212766,11.404255319148936,4.840425531914893,0.42379787234042554,4.882978723404255,4.531914893617022,0.8429787234042553,4.73404255319149,0.6595744680851063,5.3936170212765955,2.5531914893617023,2.851063829787234,8.617021276595745,95,0.6947368421052632,Stephen Curry,2019,2019/20,49346703.0,2019,0.6382099245004881,1.2205946791862285,
Stephen Curry,2020,Golden State,25.88888888888889,17.583333333333332,4.166666666666667,0.5,0.9166666666666666,12.416666666666666,5.583333333333333,0.33008333333333334,7.166666666666667,2.3333333333333335,0.23658333333333334,4.166666666666667,4.083333333333333,0.7395833333333334,2.4166666666666665,0.6666666666666666,3.0833333333333335,1.6666666666666667,2.25,-2.9166666666666665,12,0.25,Stephen Curry,2020,2020/21,52411485.0,2020,0.6169590643274854,1.0686695278969955,
Stephen Curry,2021,Golden State,33.529411764705884,28.786666666666665,5.08,0.12,1.16,19.6,9.413333333333334,0.43372000000000005,11.44,4.826666666666667,0.37522666666666665,5.6,5.133333333333334,0.8038266666666667,4.493333333333333,0.4,4.8933333333333335,1.72,3.12,3.56,75,0.5466666666666666,Stephen Curry,2021,2021/22,52938707.0,2021,0.6523446942228668,1.225630409356725,
Stephen Curry,2022,Golden State,33.611111111111114,25.604395604395606,5.967032967032967,0.34065934065934067,1.3626373626373627,19.032967032967033,8.472527472527473,0.43703296703296707,11.219780219780219,4.318681318681318,0.37753846153846154,4.868131868131868,4.34065934065934,0.789,4.648351648351649,0.4945054945054945,5.142857142857143,2.10989010989011,3.010989010989011,7.241758241758242,91,0.7252747252747253,Stephen Curry,2022,2022/23,50968059.0,2022,0.6045917837792955,1.2055471800926345,
Stephen Curry,2023,Golden State,33.9041095890411,28.445945945945947,6.0,0.36486486486486486,0.8783783783783784,20.2027027027027,9.797297297297296,0.47581081081081084,11.14864864864865,4.554054054054054,0.40237837837837837,4.743243243243243,4.297297297297297,0.8150945945945945,5.054054054054054,0.6486486486486487,5.702702702702703,2.0945945945945947,3.1486486486486487,4.256756756756757,74,0.527027027027027,Stephen Curry,2023,2023/24,53458234.0,2023,0.6380953535745466,1.268203112203112,
Sterling Brown,2018,Milwaukee,13.75,2.9390243902439024,0.36585365853658536,0.15853658536585366,0.4146341463414634,2.8048780487804876,1.1097560975609757,0.25402439024390244,1.2317073170731707,0.4268292682926829,0.18135365853658536,0.35365853658536583,0.2926829268292683,0.13820731707317074,1.5731707317073171,0.3902439024390244,1.9634146341463414,1.1097560975609757,0.36585365853658536,-0.6219512195121951,82,0.4878048780487805,Sterling Brown,2018,2018/19,1718365.0,2018,0.49637502059647387,0.4764523281596452,
Sterling Brown,2019,Milwaukee,16.802816901408452,4.908045977011494,1.206896551724138,0.12643678160919541,0.367816091954023,4.103448275862069,1.8735632183908046,0.3462183908045977,1.9655172413793103,0.7126436781609196,0.22901149425287357,0.632183908045977,0.4482758620689655,0.1704942528735632,2.103448275862069,0.39080459770114945,2.4942528735632186,1.2413793103448276,0.6781609195402298,0.1724137931034483,89,0.7415730337078652,Sterling Brown,2019,2019/20,1985213.0,2019,0.5600734522560336,0.5883660432985518,
Sterling Brown,2020,Milwaukee,15.23076923076923,4.0285714285714285,0.8428571428571429,0.12857142857142856,0.42857142857142855,3.7285714285714286,1.4142857142857144,0.2530428571428572,1.9,0.6428571428571429,0.21894285714285716,0.7285714285714285,0.5571428571428572,0.2328714285714286,2.4,0.4857142857142857,2.8857142857142857,0.9142857142857143,0.7142857142857143,1.3285714285714285,70,0.8142857142857143,Sterling Brown,2020,2020/21,2046005.0,2020,0.4974597798475868,0.5917532467532468,
Sterling Brown,2021,Houston,23.60377358490566,7.456140350877193,1.3157894736842106,0.22807017543859648,0.7368421052631579,6.0701754385964914,2.6842105263157894,0.39629824561403515,3.8947368421052633,1.6140350877192982,0.35868421052631577,0.5789473684210527,0.47368421052631576,0.23684210526315788,3.4210526315789473,0.6666666666666666,4.087719298245614,1.7719298245614035,0.7368421052631579,-2.6842105263157894,57,0.2982456140350877,Sterling Brown,2021,2021/22,3469042.0,2021,0.5894263841118385,0.6516204580195492,
Sterling Brown,2021,Milwaukee,11.285714285714286,2.3529411764705883,0.23529411764705882,0.0,0.23529411764705882,2.0588235294117645,0.8235294117647058,0.11647058823529412,1.1764705882352942,0.47058823529411764,0.125,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.6470588235294118,0.11764705882352941,0.7647058823529411,0.4117647058823529,0.29411764705882354,-1.411764705882353,17,0.4117647058823529,Sterling Brown,2021,2021/22,3469042.0,2021,0.5440696409140371,0.3314966492926284,
Sterling Brown,2022,Dallas,11.193548387096774,2.5844155844155843,0.5714285714285714,0.11688311688311688,0.2597402597402597,2.4675324675324677,0.935064935064935,0.23523376623376624,1.4415584415584415,0.45454545454545453,0.17142857142857143,0.3116883116883117,0.2597402597402597,0.14285714285714285,1.8571428571428572,0.38961038961038963,2.2467532467532467,0.7662337662337663,0.38961038961038963,0.7272727272727273,77,0.6233766233766234,Sterling Brown,2022,2022/23,3310857.0,2022,0.4961108895093737,0.5738463265840787,
Steve Blake,2015,Portland,17.966666666666665,3.989247311827957,3.4086021505376345,0.06451612903225806,0.4731182795698925,3.838709677419355,1.3870967741935485,0.3292258064516129,2.5591397849462365,0.8602150537634409,0.28638709677419355,0.4838709677419355,0.3548387096774194,0.1693548387096774,1.3655913978494623,0.21505376344086022,1.5806451612903225,1.3870967741935485,1.2473118279569892,1.2258064516129032,93,0.5913978494623656,Steve Blake,2015,2015/16,2764721.0,2015,0.4923036093418259,0.5887246394158837,
Steve Novak,2015,Oklahoma City,6.153846153846154,0.75,0.25,0.05,0.0,1.05,0.3,0.1433,0.75,0.15,0.09165,0.0,0.0,0.0,0.25,0.05,0.3,0.5,0.1,-1.2,20,0.6,Steve Novak,2015,2015/16,4947556.0,2015,0.35714285714285715,0.23806249999999995,
